n,N,N_label,standard_paper_grid,seed,scaled_budget,Delta_N_u_total,Delta_N_u_mean_term,Delta_N_u_cov_term,self_consistency_kl_u
100,460,N=n log(n),1,72,0.0380165289256198,5.279444882513768,2.045808045125982,3.2336368373877855,-0.0083178588846692
100,460,N=n log(n),1,73,0.0380165289256198,4.519024247279025,1.6482341185360236,2.870790128743001,-0.0212039250855597
100,460,N=n log(n),1,74,0.0380165289256198,5.343682166064956,1.530782318476818,3.812899847588138,-0.0364912820592679
100,460,N=n log(n),1,75,0.0380165289256198,7.162954213239545,2.8300510399085903,4.332903173330955,0.041204909942175
100,460,N=n log(n),1,76,0.0380165289256198,5.302229324768211,1.385591979194292,3.9166373455739194,-0.036399196216477
100,460,N=n log(n),1,77,0.0380165289256198,5.034079971856482,0.971666816710146,4.062413155146336,0.0418256496118268
100,460,N=n log(n),1,78,0.0380165289256198,5.164465082275296,0.7296573880581826,4.434807694217113,0.1004978180115185
100,460,N=n log(n),1,79,0.0380165289256198,3.4909778472563255,0.8894801537055006,2.601497693550825,0.0509165119481668
100,460,N=n log(n),1,80,0.0380165289256198,5.622397393786356,1.2886713953410027,4.333725998445353,-0.0241216087874224
100,460,N=n log(n),1,81,0.0380165289256198,9.858970837940932,3.021624820298149,6.837346017642783,0.098750868196348
100,460,N=n log(n),1,82,0.0380165289256198,6.3028803723731155,2.3247595010711786,3.978120871301937,0.0128533246051673
100,460,N=n log(n),1,83,0.0380165289256198,10.29830343835022,4.168971618158896,6.129331820191325,-0.0007337908545194
100,460,N=n log(n),1,84,0.0380165289256198,7.690254037755721,2.3364549010012263,5.353799136754494,0.0026904127339777
100,460,N=n log(n),1,85,0.0380165289256198,6.210671058479127,1.6705837080228774,4.54008735045625,0.0469462937426063
100,460,N=n log(n),1,86,0.0380165289256198,9.812661853644826,3.4223537346687367,6.390308118976089,0.1347706218969005
100,460,N=n log(n),1,87,0.0380165289256198,8.689703307894414,2.1929574451642604,6.496745862730154,-0.0574970593974264
100,460,N=n log(n),1,88,0.0380165289256198,7.078513931030104,1.94039068763818,5.138123243391924,0.0047842940235713
100,460,N=n log(n),1,89,0.0380165289256198,4.858077708832504,1.474834376427053,3.3832433324054505,0.0058258432909721
100,460,N=n log(n),1,90,0.0380165289256198,4.784178177374095,1.532298923285896,3.251879254088199,0.0245788306354257
100,460,N=n log(n),1,91,0.0380165289256198,9.580842791107626,3.1719434550821854,6.40889933602544,-0.0377720252849047
100,460,N=n log(n),1,92,0.0380165289256198,10.013400412664508,2.7596633320949855,7.253737080569522,0.0148589575542045
100,460,N=n log(n),1,93,0.0380165289256198,8.83755749028084,3.257703202259248,5.579854288021592,0.0696611452916448
100,460,N=n log(n),1,94,0.0380165289256198,7.507667971011974,1.7525486894590196,5.755119281552954,0.0843385550552899
100,460,N=n log(n),1,95,0.0380165289256198,6.224191864748745,1.382099081649599,4.842092783099146,-0.0291529267113003
100,460,N=n log(n),1,96,0.0380165289256198,7.467452845259317,2.574247313883249,4.8932055313760685,-0.0617658804951268
100,460,N=n log(n),1,97,0.0380165289256198,6.5842661476193864,1.9720575765164805,4.612208571102906,0.001488598365816
100,460,N=n log(n),1,98,0.0380165289256198,6.140276725453015,2.6259850656460095,3.5142916598070055,-0.0688414081291133
100,460,N=n log(n),1,99,0.0380165289256198,8.615143937078939,2.447333358074982,6.167810579003956,-0.0574877625915457
100,460,N=n log(n),1,100,0.0380165289256198,6.279567569181445,3.2868575296058284,2.992710039575617,-0.0038173901837567
100,1000,N=n^(3/2),1,0,0.0826446280991735,5.397968592444875,2.0107526899421373,3.3872159025027377,-0.0183276294940946
100,1000,N=n^(3/2),1,1,0.0826446280991735,5.530041210416599,1.8589802045075543,3.6710610059090447,-0.0450660279256643
100,1000,N=n^(3/2),1,2,0.0826446280991735,5.90982207544077,1.275562427967885,4.634259647472885,0.0108975427372619
