n,N,N_label,standard_paper_grid,seed,flow_theta_kl,gaussian_theta_kl
10000,92103,N=n log(n),0,38,3.499205564597576,4.094206006004239
10000,92103,N=n log(n),0,39,3.7096401125950806,4.227078879608241
10000,92103,N=n log(n),0,40,3.6789573874965544,4.361877539618857
10000,92103,N=n log(n),0,41,9.55388102853117,4.107300616974103
10000,92103,N=n log(n),0,42,3.2793261169201493,4.589021469016846
10000,92103,N=n log(n),0,43,3.4021976734458064,3.9887453905107533
10000,92103,N=n log(n),0,44,3.11724334786933,4.423318277181119
10000,92103,N=n log(n),0,45,3.1774887960385563,4.37045538866569
10000,92103,N=n log(n),0,46,5.107547086820024,3.6047999858679893
10000,92103,N=n log(n),0,47,3.9385636124270387,3.6251738773106577
10000,92103,N=n log(n),0,48,3.562890290739964,4.300931584804031
10000,92103,N=n log(n),0,49,3.7808512527538376,4.20745544599223
10000,92103,N=n log(n),0,50,3.0674736860040537,6.092366312435669
10000,92103,N=n log(n),0,51,3.9873623875226287,5.0049973543486095
10000,92103,N=n log(n),0,52,3.7709495457347457,4.655098934800803
10000,92103,N=n log(n),0,53,4.397893841359546,3.981040317638193
10000,92103,N=n log(n),0,54,4.938522930454491,3.872931136179565
10000,92103,N=n log(n),0,55,4.140007024111279,3.8970505558763495
10000,92103,N=n log(n),0,56,3.141318150096376,3.8446629570687656
10000,92103,N=n log(n),0,57,3.3193652801664366,4.940408520386233
10000,92103,N=n log(n),0,58,3.8722354632553104,3.4091815524395885
10000,92103,N=n log(n),0,59,3.984112845034484,6.748409106638126
10000,92103,N=n log(n),0,60,4.304575578225166,4.216870763697565
10000,92103,N=n log(n),0,61,3.006445068160459,4.310844839980824
10000,92103,N=n log(n),0,62,5.042208338707107,4.510788899084248
10000,92103,N=n log(n),0,63,3.505682910698999,5.140986688557688
10000,92103,N=n log(n),0,64,3.699646616309834,4.783724919018536
10000,92103,N=n log(n),0,65,3.2844578567631912,4.1303193804722165
10000,92103,N=n log(n),0,66,3.6399947245761357,5.1935287243187425
10000,92103,N=n log(n),0,67,4.587223089598528,3.767973838055319
10000,92103,N=n log(n),0,68,4.38535583152177,3.8467800035042163
10000,92103,N=n log(n),0,69,2.9758917384708172,5.026653149389543
10000,92103,N=n log(n),0,70,3.672045338889254,4.142469335003555
10000,92103,N=n log(n),0,71,3.2137646997193885,4.358660685102614
10000,92103,N=n log(n),0,72,3.2059755986630574,3.5167331611877657
10000,92103,N=n log(n),0,73,4.605421616381913,5.327418133122283
10000,92103,N=n log(n),0,74,3.7054634005289127,4.360565889185496
10000,92103,N=n log(n),0,75,3.623266960471135,5.036741378773987
10000,92103,N=n log(n),0,76,3.3340203023909005,4.629985927940682
10000,92103,N=n log(n),0,77,3.568162968152422,4.160447727768338
10000,92103,N=n log(n),0,78,3.3601061408099104,4.270636769725122
10000,92103,N=n log(n),0,79,3.4301138279704495,4.6532577161988575
10000,92103,N=n log(n),0,80,3.624620059429354,3.6588825139954353
10000,92103,N=n log(n),0,81,3.8344506134319487,4.24570436338836
10000,92103,N=n log(n),0,82,4.422935779770748,3.584165355400582
10000,92103,N=n log(n),0,83,2.8201186667500115,4.605743253479359
10000,92103,N=n log(n),0,84,4.323051383657635,3.797400325452765
10000,92103,N=n log(n),0,85,3.9554459499364447,4.010119926405399
10000,92103,N=n log(n),0,86,3.552842493294442,4.178234309217336
10000,92103,N=n log(n),0,87,2.8210672519307156,4.181977663876137
10000,92103,N=n log(n),0,88,3.6816271476497757,4.6150063517669375
10000,92103,N=n log(n),0,89,3.035613723310981,4.536679312587076
10000,92103,N=n log(n),0,90,3.3247580763933433,4.758144375701635
10000,92103,N=n log(n),0,91,3.012156295777362,5.234281990981301
10000,92103,N=n log(n),0,92,3.7923408954133855,4.444743635707121
10000,92103,N=n log(n),0,93,4.0359643186712475,3.8584913903271154
10000,92103,N=n log(n),0,94,4.65755388443267,4.289369149278555
10000,92103,N=n log(n),0,95,3.642576586946037,4.5995606343575055
10000,92103,N=n log(n),0,96,2.9259017932459246,4.832865318517657
10000,92103,N=n log(n),0,97,3.581863702823569,3.9854916533755222
10000,92103,N=n log(n),0,98,5.118164940829045,4.185940967061524
10000,92103,N=n log(n),0,99,3.121513021930819,3.4044883395020396
10000,92103,N=n log(n),0,100,3.671795648555527,4.79660636379953
10000,1000000,N=n^(3/2),0,0,2.4948595017361628,2.7724566847156056
10000,1000000,N=n^(3/2),0,1,3.3851791925741654,3.0340690077527492
10000,1000000,N=n^(3/2),0,2,2.5305489273635393,2.656695197840152
10000,1000000,N=n^(3/2),0,3,1.980481275523683,2.9781651165352163
10000,1000000,N=n^(3/2),0,4,4.044890116330916,2.9957606073453817
10000,1000000,N=n^(3/2),0,5,2.1908775719737537,3.2959501306544943
10000,1000000,N=n^(3/2),0,6,3.4524623298173878,3.3916775619642445
10000,1000000,N=n^(3/2),0,7,2.567540704972789,2.740244972822541
10000,1000000,N=n^(3/2),0,8,4.593719803330168,2.5875210530949166
10000,1000000,N=n^(3/2),0,9,2.504376503864937,2.6326593927932773
10000,1000000,N=n^(3/2),0,10,2.0524786930952783,4.052544849930306
10000,1000000,N=n^(3/2),0,11,3.917532396453026,3.6358948098263757
10000,1000000,N=n^(3/2),0,12,2.162994342040777,2.392394750985767
10000,1000000,N=n^(3/2),0,13,5.409673354811841,2.8168157241882765
10000,1000000,N=n^(3/2),0,14,2.22047139083929,2.9581524069847327
10000,1000000,N=n^(3/2),0,15,3.0779912863484955,2.862817923896188
10000,1000000,N=n^(3/2),0,16,2.188992063082797,2.8150932377058315
10000,1000000,N=n^(3/2),0,17,2.6892890628041237,2.6887361644266936
10000,1000000,N=n^(3/2),0,18,2.6051248977661134,3.0056763817275782
10000,1000000,N=n^(3/2),0,19,2.6031106045844488,2.856247165839481
10000,1000000,N=n^(3/2),0,20,2.3209951683889116,3.6540323339145333
10000,1000000,N=n^(3/2),0,21,2.5343238991027954,2.731680284731334
10000,1000000,N=n^(3/2),0,22,2.284770581794962,2.8605482114192555
10000,1000000,N=n^(3/2),0,23,2.1381319450883463,3.2161108971230585
10000,1000000,N=n^(3/2),0,24,3.7957981687975346,2.876385970802014
10000,1000000,N=n^(3/2),0,25,2.230788365973819,4.1630527375755735
10000,1000000,N=n^(3/2),0,26,3.032921555797049,2.781977701398672
10000,1000000,N=n^(3/2),0,27,2.9529668579497077,3.7653494656457114
10000,1000000,N=n^(3/2),0,28,2.320276302198611,2.7104143534777188
10000,1000000,N=n^(3/2),0,29,3.0082236531664606,2.9224922097566055
10000,1000000,N=n^(3/2),0,30,3.584680828574793,3.515352060144495
10000,1000000,N=n^(3/2),0,31,3.04075999902684,2.701035276162468
10000,1000000,N=n^(3/2),0,32,2.642639736132123,2.8800364173241104
10000,1000000,N=n^(3/2),0,33,2.3289784559727593,3.10773384933775
10000,1000000,N=n^(3/2),0,34,1.9571748268486064,3.7146886297437667
10000,1000000,N=n^(3/2),0,35,4.87081537468996,2.759350126755951
10000,1000000,N=n^(3/2),0,36,1.995782451073894,2.617003838507792
10000,1000000,N=n^(3/2),0,37,2.514560048940872,2.2907091770006582
10000,1000000,N=n^(3/2),0,38,2.4247081436816673,3.6895229581401137
10000,1000000,N=n^(3/2),0,39,3.0325301503015223,2.673884195413684
10000,1000000,N=n^(3/2),0,40,3.6901146537554483,2.9018083937621832
10000,1000000,N=n^(3/2),0,41,7.4403404902162675,2.448256701214026
10000,1000000,N=n^(3/2),0,42,2.272515090737807,3.3666691720043773
10000,1000000,N=n^(3/2),0,43,2.213654016238367,2.9818577356228517
10000,1000000,N=n^(3/2),0,44,2.3808289196741335,3.4267382618336906
10000,1000000,N=n^(3/2),0,45,2.4015843934621883,3.1259328086740337
10000,1000000,N=n^(3/2),0,46,2.5893610352073773,3.8406666644036376
10000,1000000,N=n^(3/2),0,47,2.6049317562517724,2.9256919568613156
10000,1000000,N=n^(3/2),0,48,2.1103643453123992,2.759540172681446
10000,1000000,N=n^(3/2),0,49,2.326578088551497,2.3473801920908133
10000,1000000,N=n^(3/2),0,50,2.081057756271991,2.7568924187471113
10000,1000000,N=n^(3/2),0,51,2.3119369950962225,2.6827448863369194
10000,1000000,N=n^(3/2),0,52,2.4837947502316213,3.3979558720075755
10000,1000000,N=n^(3/2),0,53,3.7483241877906663,2.399418484726703
10000,1000000,N=n^(3/2),0,54,3.443448583468351,3.460005613818288
10000,1000000,N=n^(3/2),0,55,7.333340238652709,3.131903608261831
10000,1000000,N=n^(3/2),0,56,2.7993773795669754,2.6907034424038048
10000,1000000,N=n^(3/2),0,57,2.4130565269429116,2.989854020808774
10000,1000000,N=n^(3/2),0,58,2.784211062213824,2.7727920940470074
10000,1000000,N=n^(3/2),0,59,2.2957230502525343,3.7264954490895095
10000,1000000,N=n^(3/2),0,60,1.8757880895079444,2.983115159196229
10000,1000000,N=n^(3/2),0,61,2.5644596618281628,3.150243026633706
10000,1000000,N=n^(3/2),0,62,3.288786191683845,3.8572787517871827
10000,1000000,N=n^(3/2),0,63,2.0544488697671066,3.547204672335198
10000,1000000,N=n^(3/2),0,64,2.524078402932906,2.7048272315905737
10000,1000000,N=n^(3/2),0,65,3.1051276785933224,2.8027507379752046
10000,1000000,N=n^(3/2),0,66,2.3730883414971813,2.6708060692217197
10000,1000000,N=n^(3/2),0,67,2.8162823805959927,3.2781462109166504
10000,1000000,N=n^(3/2),0,68,4.0003766739539754,3.2216527160389496
10000,1000000,N=n^(3/2),0,69,3.0071923472799753,2.808497850357311
10000,1000000,N=n^(3/2),0,70,2.4390275300315487,2.5024384131084183
10000,1000000,N=n^(3/2),0,71,2.8956433113695397,2.6077740681578834
10000,1000000,N=n^(3/2),0,72,1.970143200767749,3.3543334883189684
10000,1000000,N=n^(3/2),0,73,4.260839938709003,3.106465973193619
10000,1000000,N=n^(3/2),0,74,2.0498014929577524,2.6209512338852754
10000,1000000,N=n^(3/2),0,75,2.622062528020543,4.034505273025855
10000,1000000,N=n^(3/2),0,76,3.779279757842806,2.8120884816938085
10000,1000000,N=n^(3/2),0,77,1.984296083503926,3.7616462285755423
10000,1000000,N=n^(3/2),0,78,2.4798893094627883,2.4441334183145176
10000,1000000,N=n^(3/2),0,79,3.170379109391235,3.1770221128888356
10000,1000000,N=n^(3/2),0,80,2.6143359787948075,2.4264562002542034
10000,1000000,N=n^(3/2),0,81,3.508607009753944,2.634120928522973
10000,1000000,N=n^(3/2),0,82,2.465938334287583,3.750816496530474
