delta0,seed,n_obs,n_sims,kl
0.01,66,1000,1000000,10.79579904043632
0.01,67,1000,1000000,9.866176208495633
0.01,68,1000,1000000,10.874637642020911
0.01,69,1000,1000000,10.459721860640315
0.01,70,1000,1000000,inf
0.01,71,1000,1000000,11.466424864860167
0.01,72,1000,1000000,inf
0.01,73,1000,1000000,10.388286772101639
0.01,74,1000,1000000,11.005460578579434
0.01,75,1000,1000000,11.26622334672627
0.01,76,1000,1000000,inf
0.01,77,1000,1000000,10.207634054802732
0.01,78,1000,1000000,11.350479210992097
0.01,79,1000,1000000,10.931920186504795
0.01,80,1000,1000000,10.354727350282975
0.01,81,1000,1000000,10.88537000481056
0.01,82,1000,1000000,10.36962372276997
0.01,83,1000,1000000,inf
0.01,84,1000,1000000,10.113195687353429
0.01,85,1000,1000000,10.750207370406653
0.01,86,1000,1000000,10.35770938552346
0.01,87,1000,1000000,10.432200176173035
0.01,88,1000,1000000,19.188245402955303
0.01,89,1000,1000000,10.727404026606171
0.01,90,1000,1000000,19.517710868062697
0.01,91,1000,1000000,inf
0.01,92,1000,1000000,11.065687208500941
0.01,93,1000,1000000,19.374054287380712
0.01,94,1000,1000000,10.704144759710891
0.01,95,1000,1000000,19.38258112373687
0.01,96,1000,1000000,11.108334292081846
0.01,97,1000,1000000,11.296779701080716
0.01,98,1000,1000000,10.6316658198961
0.01,99,1000,1000000,19.527701465320128
0.01,100,1000,1000000,inf
0.99,0,1000,1000,0.32314586381508054
0.99,1,1000,1000,0.7315011368427216
0.99,2,1000,1000,0.10788943834991638
0.99,3,1000,1000,0.2845821713688498
0.99,4,1000,1000,0.4539911116599836
0.99,5,1000,1000,0.5840455437153981
0.99,6,1000,1000,0.2722899810697634
0.99,7,1000,1000,0.3280020092170321
0.99,8,1000,1000,0.10522210481024268
0.99,9,1000,1000,0.45824951646392154
0.99,10,1000,1000,0.3276407572588475
0.99,11,1000,1000,0.2015926759934644
0.99,12,1000,1000,0.46946190291780976
0.99,13,1000,1000,0.13601463924856097
0.99,14,1000,1000,0.33196684281583544
0.99,15,1000,1000,0.37308260867423554
0.99,16,1000,1000,0.8819152281460424
0.99,17,1000,1000,0.44532677643237917
0.99,18,1000,1000,0.08699566719770001
0.99,19,1000,1000,0.11682223594668695
0.99,20,1000,1000,0.47805921595724205
0.99,21,1000,1000,0.2678871859898227
0.99,22,1000,1000,0.20902226283920264
0.99,23,1000,1000,0.3964563847497906
0.99,24,1000,1000,0.1300043912998979
0.99,25,1000,1000,0.21547148201814598
0.99,26,1000,1000,0.003024795610206361
0.99,27,1000,1000,0.4256805878402396
0.99,28,1000,1000,0.25772764957585764
0.99,29,1000,1000,0.877617007990089
0.99,30,1000,1000,0.15819027523374019
0.99,31,1000,1000,0.15243132942060592
0.99,32,1000,1000,0.3153429577659026
0.99,33,1000,1000,0.5078859548182111
0.99,34,1000,1000,0.21445640358954546
0.99,35,1000,1000,0.23160012435638405
0.99,36,1000,1000,0.3757592547432069
0.99,37,1000,1000,0.38440133843852414
0.99,38,1000,1000,0.09872584893665677
0.99,39,1000,1000,0.11817350281252585
0.99,40,1000,1000,0.12530850079617853
0.99,41,1000,1000,0.20914288945849527
0.99,42,1000,1000,0.19964547996026338
0.99,43,1000,1000,0.2595289294331863
0.99,44,1000,1000,0.1418203069958957
0.99,45,1000,1000,0.432933581644886
0.99,46,1000,1000,0.053249722231185875
0.99,47,1000,1000,0.20424978362664767
0.99,48,1000,1000,0.2630975347352203
0.99,49,1000,1000,0.9789502067462295
0.99,50,1000,1000,0.14921006582698457
0.99,51,1000,1000,0.21183636393176505
0.99,52,1000,1000,0.16014187311144648
0.99,53,1000,1000,0.03135514207424005
0.99,54,1000,1000,1.0063686861626264
0.99,55,1000,1000,0.3641248684873062
0.99,56,1000,1000,0.3152832604845542
0.99,57,1000,1000,0.32447690974819154
0.99,58,1000,1000,0.308837436179049
0.99,59,1000,1000,0.11241935097406858
0.99,60,1000,1000,0.7760326594074941
0.99,61,1000,1000,0.4198705804025318
0.99,62,1000,1000,0.08009642359051873
0.99,63,1000,1000,0.0419897242350704
0.99,64,1000,1000,0.16477780068348533
0.99,65,1000,1000,0.5725345880705208
0.99,66,1000,1000,0.11262685101767728
0.99,67,1000,1000,0.2772858415673187
0.99,68,1000,1000,0.27957087066574365
0.99,69,1000,1000,0.5471876608050161
0.99,70,1000,1000,0.12837962968214542
0.99,71,1000,1000,0.07014189242320373
0.99,72,1000,1000,0.07365634224605216
0.99,73,1000,1000,0.6166718048204832
0.99,74,1000,1000,0.11812414009496967
0.99,75,1000,1000,0.3597336616281806
0.99,76,1000,1000,0.1299679015413826
0.99,77,1000,1000,0.21019533673113006
0.99,78,1000,1000,0.3415498023833635
0.99,79,1000,1000,0.14361133567260384
0.99,80,1000,1000,1.1245630786258871
0.99,81,1000,1000,0.1365892582440379
0.99,82,1000,1000,0.20782245532890137
0.99,83,1000,1000,0.6481389005362278
0.99,84,1000,1000,0.014815015656405393
0.99,85,1000,1000,0.8397855181770966
0.99,86,1000,1000,0.31287341078415976
0.99,87,1000,1000,0.3430861736968025
0.99,88,1000,1000,0.29942385401684074
0.99,89,1000,1000,0.3685914480791437
0.99,90,1000,1000,0.10947406651028266
0.99,91,1000,1000,0.0732267234724674
0.99,92,1000,1000,0.363046459296528
0.99,93,1000,1000,0.2043224744827655
0.99,94,1000,1000,0.1515892550413223
0.99,95,1000,1000,0.3630434839328826
0.99,96,1000,1000,-0.005678444740354039
