method,t1,t2
flow-NPE,0.6077926158905029,0.13094007968902588
flow-NPE,0.6181694269180298,0.12979340553283691
flow-NPE,0.6213340759277344,0.1708230972290039
flow-NPE,0.5659670829772949,0.029263615608215332
flow-NPE,0.6641428470611572,0.023297905921936035
flow-NPE,0.5819181203842163,0.13605904579162598
flow-NPE,0.6263172626495361,0.24480140209197998
flow-NPE,0.6738840341567993,0.07164692878723145
flow-NPE,0.6509850025177002,0.15658557415008545
flow-NPE,0.5812395811080933,0.13978910446166992
flow-NPE,0.5833169221878052,0.13672363758087158
flow-NPE,0.5691277980804443,0.010291099548339844
flow-NPE,0.6160157918930054,0.19825303554534912
flow-NPE,0.6048647165298462,0.13421845436096191
flow-NPE,0.6078753471374512,0.1844109296798706
flow-NPE,0.6106138229370117,0.15288543701171875
flow-NPE,0.634432315826416,0.05764269828796387
