method,standardisation,seed,n_obs,N_sims,theta_kl,status
gaussian_npe,robust_asinh_median_iqr,17,1000,31623,3.72748709423,finite_metric
gaussian_npe,robust_asinh_median_iqr,18,1000,31623,3.59361884943,finite_metric
gaussian_npe,robust_asinh_median_iqr,19,1000,31623,2.97543936688,finite_metric
gaussian_npe,robust_asinh_median_iqr,20,1000,31623,3.49005273535,finite_metric
gaussian_npe,robust_asinh_median_iqr,21,1000,31623,3.76083050054,finite_metric
gaussian_npe,robust_asinh_median_iqr,22,1000,31623,2.91746727593,finite_metric
gaussian_npe,robust_asinh_median_iqr,23,1000,31623,3.66714749154,finite_metric
gaussian_npe,robust_asinh_median_iqr,24,1000,31623,3.25105608892,finite_metric
gaussian_npe,robust_asinh_median_iqr,0,1000,1000000,1.44718093541,finite_metric
gaussian_npe,robust_asinh_median_iqr,1,1000,1000000,1.55201924234,finite_metric
gaussian_npe,robust_asinh_median_iqr,2,1000,1000000,1.26304316445,finite_metric
gaussian_npe,robust_asinh_median_iqr,3,1000,1000000,2.32138721073,finite_metric
gaussian_npe,robust_asinh_median_iqr,4,1000,1000000,1.75150404257,finite_metric
gaussian_npe,robust_asinh_median_iqr,5,1000,1000000,1.59465091272,finite_metric
gaussian_npe,robust_asinh_median_iqr,6,1000,1000000,1.35919345099,finite_metric
gaussian_npe,robust_asinh_median_iqr,7,1000,1000000,1.87867929097,finite_metric
gaussian_npe,robust_asinh_median_iqr,8,1000,1000000,1.93051290851,finite_metric
gaussian_npe,robust_asinh_median_iqr,9,1000,1000000,1.55986041232,finite_metric
gaussian_npe,robust_asinh_median_iqr,10,1000,1000000,2.03893432323,finite_metric
gaussian_npe,robust_asinh_median_iqr,11,1000,1000000,2.38617000704,finite_metric
gaussian_npe,robust_asinh_median_iqr,12,1000,1000000,1.13437583486,finite_metric
gaussian_npe,robust_asinh_median_iqr,13,1000,1000000,2.23440519801,finite_metric
gaussian_npe,robust_asinh_median_iqr,14,1000,1000000,1.87926411159,finite_metric
gaussian_npe,robust_asinh_median_iqr,15,1000,1000000,1.95367687475,finite_metric
gaussian_npe,robust_asinh_median_iqr,16,1000,1000000,2.51151555392,finite_metric
gaussian_npe,robust_asinh_median_iqr,17,1000,1000000,1.09621121038,finite_metric
gaussian_npe,robust_asinh_median_iqr,18,1000,1000000,1.25907589967,finite_metric
gaussian_npe,robust_asinh_median_iqr,19,1000,1000000,1.35768768747,finite_metric
gaussian_npe,robust_asinh_median_iqr,20,1000,1000000,1.26865785077,finite_metric
gaussian_npe,robust_asinh_median_iqr,21,1000,1000000,1.58098579104,finite_metric
gaussian_npe,robust_asinh_median_iqr,22,1000,1000000,1.13661331037,finite_metric
gaussian_npe,robust_asinh_median_iqr,23,1000,1000000,1.9157808617,finite_metric
gaussian_npe,robust_asinh_median_iqr,24,1000,1000000,1.2644249086,finite_metric
gaussian_npe,robust_asinh_median_iqr,0,1000,3000000,1.51669292288,finite_metric
gaussian_npe,robust_asinh_median_iqr,1,1000,3000000,1.11803423549,finite_metric
gaussian_npe,robust_asinh_median_iqr,2,1000,3000000,1.10501276159,finite_metric
gaussian_npe,robust_asinh_median_iqr,3,1000,3000000,1.67993622079,finite_metric
gaussian_npe,robust_asinh_median_iqr,4,1000,3000000,0.97593657435,finite_metric
gaussian_npe,robust_asinh_median_iqr,5,1000,3000000,1.2108686139,finite_metric
gaussian_npe,robust_asinh_median_iqr,6,1000,3000000,1.7187577841,finite_metric
gaussian_npe,robust_asinh_median_iqr,7,1000,3000000,1.53691725977,finite_metric
gaussian_npe,robust_asinh_median_iqr,8,1000,3000000,1.44889886542,finite_metric
gaussian_npe,robust_asinh_median_iqr,9,1000,3000000,1.05697407029,finite_metric
gaussian_npe,robust_asinh_median_iqr,10,1000,3000000,1.73404427957,finite_metric
gaussian_npe,robust_asinh_median_iqr,11,1000,3000000,1.65831688392,finite_metric
gaussian_npe,robust_asinh_median_iqr,12,1000,3000000,1.47620111518,finite_metric
gaussian_npe,robust_asinh_median_iqr,13,1000,3000000,2.31515497352,finite_metric
