method,n_obs,n_sims,budget_label,seed,kl,mmd
flow_npe,100,1000,N=n^(3/2),63,0.35657144374456695,0.021284103
flow_npe,100,1000,N=n^(3/2),64,0.4320843676790293,0.048729897
flow_npe,100,1000,N=n^(3/2),65,0.18445386790543516,0.002767682
flow_npe,100,1000,N=n^(3/2),66,0.3239930119621151,0.021215558
flow_npe,100,1000,N=n^(3/2),67,0.5185831027900614,0.03785348
flow_npe,100,1000,N=n^(3/2),68,0.4997850856801696,0.030631065
flow_npe,100,1000,N=n^(3/2),69,0.449275405968179,0.042349458
flow_npe,100,1000,N=n^(3/2),70,0.4046499770164971,0.019364834
flow_npe,100,1000,N=n^(3/2),71,0.38317959574334,0.010922432
flow_npe,100,1000,N=n^(3/2),72,0.6861299318866279,0.064162016
flow_npe,100,1000,N=n^(3/2),73,0.5624808001656624,0.023915887
flow_npe,100,1000,N=n^(3/2),74,0.34810281946853744,0.028673053
flow_npe,100,1000,N=n^(3/2),75,0.4125944265371119,0.038270593
flow_npe,100,1000,N=n^(3/2),76,0.24848093195932996,0.0058557987
flow_npe,100,1000,N=n^(3/2),77,0.3612132011699519,0.031863213
flow_npe,100,1000,N=n^(3/2),78,0.5154116228416372,0.041093826
flow_npe,100,1000,N=n^(3/2),79,0.3920309184019757,0.029594302
flow_npe,100,1000,N=n^(3/2),80,0.3907766385846825,0.015822053
flow_npe,100,1000,N=n^(3/2),81,0.4054743230774564,0.0139404535
flow_npe,100,1000,N=n^(3/2),82,0.3845720490906755,0.024651766
flow_npe,100,1000,N=n^(3/2),83,0.3006519330630663,0.0071309805
flow_npe,100,1000,N=n^(3/2),84,0.2114543919403659,0.016009092
flow_npe,100,1000,N=n^(3/2),85,0.4801928934783144,0.116873026
flow_npe,100,1000,N=n^(3/2),86,0.15733308262085455,0.012209773
flow_npe,100,1000,N=n^(3/2),87,1.0584954800722628,0.05003929
flow_npe,100,1000,N=n^(3/2),88,0.2010757421936452,0.008959174
flow_npe,100,1000,N=n^(3/2),89,0.5575921103185492,0.021768808
flow_npe,100,1000,N=n^(3/2),90,0.406478458626125,0.02197063
flow_npe,100,1000,N=n^(3/2),91,0.4395535112945991,0.03188312
flow_npe,100,1000,N=n^(3/2),92,0.46978664119837443,0.1057961
flow_npe,100,1000,N=n^(3/2),93,0.3145565013393366,0.012031794
flow_npe,100,1000,N=n^(3/2),94,0.24287678892279277,0.011244655
flow_npe,100,1000,N=n^(3/2),95,0.4413753809884095,0.055774927
flow_npe,100,1000,N=n^(3/2),96,0.26900312823049455,0.008403182
flow_npe,100,1000,N=n^(3/2),97,0.26206069885540845,0.011219621
flow_npe,100,1000,N=n^(3/2),98,0.14361855543169028,0.0022594929
flow_npe,100,1000,N=n^(3/2),99,0.3715557430882633,0.023506403
flow_npe,100,1000,N=n^(3/2),100,0.49332887527771546,0.0124258995
flow_npe,100,10000,N=n^2,0,0.05264134084203972,0.004741192
flow_npe,100,10000,N=n^2,1,0.1568540586478662,0.015094042
flow_npe,100,10000,N=n^2,2,0.22292449446571752,0.019484162
flow_npe,100,10000,N=n^2,3,0.16380776340686304,0.011982799
flow_npe,100,10000,N=n^2,4,0.18444265402313578,0.018755555
flow_npe,100,10000,N=n^2,5,0.025785745316330568,0.0005402565
flow_npe,100,10000,N=n^2,6,0.5433000278029544,0.022768855
flow_npe,100,10000,N=n^2,7,0.17198302119266767,0.013446689
flow_npe,100,10000,N=n^2,8,0.14290601491213992,0.006724596
flow_npe,100,10000,N=n^2,9,0.10654881023837025,0.0060527325
flow_npe,100,10000,N=n^2,10,0.061655567507875014,0.0024787188
flow_npe,100,10000,N=n^2,11,0.09452356659017541,0.005196452
flow_npe,100,10000,N=n^2,12,0.09520281464163645,0.011526465
flow_npe,100,10000,N=n^2,13,0.2579758850882532,0.020515084
flow_npe,100,10000,N=n^2,14,0.1581618916011797,0.01448679
flow_npe,100,10000,N=n^2,15,0.21756965638772516,0.01511097
flow_npe,100,10000,N=n^2,16,0.16300113996912605,0.0073988438
flow_npe,100,10000,N=n^2,17,0.283625428977128,0.02592659
flow_npe,100,10000,N=n^2,18,0.21122176440160326,0.01309514
flow_npe,100,10000,N=n^2,19,0.14716114699641877,0.007861376
flow_npe,100,10000,N=n^2,20,0.08656751824647975,0.007466674
flow_npe,100,10000,N=n^2,21,0.46017253664794955,0.050144553
flow_npe,100,10000,N=n^2,22,0.23076210098255423,0.023163795
flow_npe,100,10000,N=n^2,23,0.07840236642277516,0.004252553
flow_npe,100,10000,N=n^2,24,0.21114113885483768,0.016520262
flow_npe,100,10000,N=n^2,25,0.13374664061982788,0.008026242
flow_npe,100,10000,N=n^2,26,0.14859675490536753,0.01187408
flow_npe,100,10000,N=n^2,27,0.3360444044565961,0.013597608
flow_npe,100,10000,N=n^2,28,0.09466505091382123,0.0026540756
flow_npe,100,10000,N=n^2,29,0.15561035665682155,0.0041913986
flow_npe,100,10000,N=n^2,30,0.15096776585378577,0.007455945
flow_npe,100,10000,N=n^2,31,0.49257906076546654,0.026666641
flow_npe,100,10000,N=n^2,32,0.1626165974370738,0.021196723
flow_npe,100,10000,N=n^2,33,0.08842099877696982,0.002559781
flow_npe,100,10000,N=n^2,34,0.11273702271632774,0.0035686493
flow_npe,100,10000,N=n^2,35,0.10713267772153963,0.002434373
flow_npe,100,10000,N=n^2,36,0.09475310685319804,0.004151821
flow_npe,100,10000,N=n^2,37,0.26688235307251373,0.008265853
flow_npe,100,10000,N=n^2,38,0.08932863649288517,0.014163017
flow_npe,100,10000,N=n^2,39,0.0683043984596587,0.0074853897
flow_npe,100,10000,N=n^2,40,0.1609965752447865,0.0028367043
flow_npe,100,10000,N=n^2,41,0.03037784544761639,0.00085902214
flow_npe,100,10000,N=n^2,42,0.12020976683485171,0.0072669983
flow_npe,100,10000,N=n^2,43,0.668322861912683,0.023360968
flow_npe,100,10000,N=n^2,44,0.4835910498252735,0.02003944
flow_npe,100,10000,N=n^2,45,0.2018494513076483,0.011674643
flow_npe,100,10000,N=n^2,46,0.055500345852004515,0.0009852648
flow_npe,100,10000,N=n^2,47,0.16884997859356557,0.019087076
flow_npe,100,10000,N=n^2,48,0.20660986144649363,0.0102421045
flow_npe,100,10000,N=n^2,49,0.10609386649216813,0.0075354576
flow_npe,100,10000,N=n^2,50,0.073628756107944,0.0046805143
flow_npe,100,10000,N=n^2,51,0.12656166009738407,0.011995196
flow_npe,100,10000,N=n^2,52,0.03686413206793226,0.0010038614
flow_npe,100,10000,N=n^2,53,0.10470338304163002,0.004303217
flow_npe,100,10000,N=n^2,54,0.12182606532729959,0.015812278
flow_npe,100,10000,N=n^2,55,0.2249507229919278,0.01014328
flow_npe,100,10000,N=n^2,56,0.23563470000966052,0.017529607
flow_npe,100,10000,N=n^2,57,0.14722890479961612,0.02224946
flow_npe,100,10000,N=n^2,58,0.07492269664824115,0.0022474527
flow_npe,100,10000,N=n^2,59,0.27014696458948395,0.013167739
flow_npe,100,10000,N=n^2,60,0.11521781038349607,0.01559484
flow_npe,100,10000,N=n^2,61,0.10961168218802098,0.0044243336
flow_npe,100,10000,N=n^2,63,0.15214041684091048,0.0043925047
flow_npe,100,10000,N=n^2,64,0.2614852009212642,0.017329335
flow_npe,100,10000,N=n^2,65,0.07573581657924532,0.006585121
flow_npe,100,10000,N=n^2,66,0.1358013361818966,0.0033369064
flow_npe,100,10000,N=n^2,67,0.14162057972591618,0.008461833
flow_npe,100,10000,N=n^2,68,0.08450065257409797,0.0048547983
flow_npe,100,10000,N=n^2,69,0.07040297590931803,0.0040980577
flow_npe,100,10000,N=n^2,70,0.10750351655393395,0.006128311
flow_npe,100,10000,N=n^2,71,0.07745669730981578,0.00647974
flow_npe,100,10000,N=n^2,72,0.25003767172276303,0.019623995
flow_npe,100,10000,N=n^2,73,0.1694311649775313,0.009506106
flow_npe,100,10000,N=n^2,74,0.38626855633023705,0.01571846
flow_npe,100,10000,N=n^2,75,0.09037629227887596,0.0011258125
flow_npe,100,10000,N=n^2,76,0.08940357415427178,0.0060249567
flow_npe,100,10000,N=n^2,77,0.03970262617343373,0.00090777874
flow_npe,100,10000,N=n^2,78,0.1900870194066963,0.032428622
flow_npe,100,10000,N=n^2,79,0.05593358406955778,0.001163125
flow_npe,100,10000,N=n^2,80,0.18074487686052582,0.015019059
flow_npe,100,10000,N=n^2,81,0.05081097516898582,0.0017390251
flow_npe,100,10000,N=n^2,82,0.11280883474067209,0.0075577497
flow_npe,100,10000,N=n^2,83,0.19117245673441918,0.01788497
flow_npe,100,10000,N=n^2,84,0.05501758256329972,0.0063887835
flow_npe,100,10000,N=n^2,85,0.16365322905670796,0.026123762
flow_npe,100,10000,N=n^2,86,0.08986874267285536,0.0064638853
flow_npe,100,10000,N=n^2,87,0.39093192918437825,0.047667027
flow_npe,100,10000,N=n^2,88,0.07788476375872223,0.0042561293
flow_npe,100,10000,N=n^2,89,0.23097103695791085,0.017262816
flow_npe,100,10000,N=n^2,90,0.12471278966521183,0.020022035
flow_npe,100,10000,N=n^2,91,0.22049371237753138,0.01230824
flow_npe,100,10000,N=n^2,92,0.12873773493098448,0.033150792
flow_npe,100,10000,N=n^2,94,0.09132157589179893,0.0066605806
flow_npe,100,10000,N=n^2,95,0.10764042317348627,0.007027626
flow_npe,100,10000,N=n^2,96,0.2349603709527343,0.012626171
flow_npe,100,10000,N=n^2,97,0.12222755096218137,0.00782311
flow_npe,100,10000,N=n^2,98,0.13633909157861754,0.0068736076
flow_npe,100,10000,N=n^2,99,0.08765285146667523,0.0029095411
flow_npe,100,10000,N=n^2,100,0.15827000657656953,0.0060002804
flow_npe,500,500,N=n,0,0.5539490876830799,0.028011084
flow_npe,500,500,N=n,1,0.3593490870611537,0.010955691
flow_npe,500,500,N=n,2,0.8026509130858854,0.07240367
flow_npe,500,500,N=n,3,0.48413194602480997,0.020300508
